start_s,end_s,dur,nb_ratio_med,nb_ratio_p75,tonality_med,rms_med,flux_med,td_slope_med,td_slope_min,td_energy_med
225.55,226.20000000000002,0.6500000000000057,0.2558576464653015,0.5307281613349915,1.1454994678497314,0.006189238280057907,0.3922064006328583,-77.12860107421875,-1576.3671875,3.8080403851658923e-06
247.95000000000002,248.65,0.6999999999999886,0.30975252389907837,0.46195894479751587,1.0989971160888672,0.0007207766175270081,0.09528540074825287,50.55999755859375,-1964.1922607421875,5.162370082987644e-07
273.5,274.2,0.6999999999999886,0.26983609795570374,2.6728854179382324,1.0413429737091064,0.0007682739524170756,0.10012215375900269,-8.07952880859375,-1835.4766845703125,5.194549531911214e-07
274.2,274.5,0.30000000000001137,0.2865549325942993,0.5062915086746216,1.090370774269104,0.0006701109814457595,0.10829810798168182,-127.410888671875,-1235.368408203125,6.880242147711905e-07
276.5,277.15000000000003,0.6500000000000341,0.4967246353626251,0.794245183467865,1.0639146566390991,0.0032505786512047052,0.31096091866493225,-90.655517578125,-1958.3359375,6.353074046221099e-06
279.35,280.0,0.6499999999999773,0.5816988348960876,1.2271908521652222,1.0354177951812744,0.002695902716368437,0.22243410348892212,52.1820068359375,-1921.875,2.8342753685368987e-06
280.0,280.3,0.30000000000001137,0.11193301528692245,0.1993902325630188,1.1910583972930908,0.0006866337498649955,0.1332252472639084,-26.397705078125,-1791.630615234375,1.064520069591617e-06
284.35,285.0,0.6499999999999773,0.6536096334457397,1.1409271955490112,1.0585492849349976,0.0008247772348113358,0.09835604578256607,13.93280029296875,-1711.1358642578125,5.996323682693036e-07
300.35,301.3,0.9499999999999886,0.07362760603427887,0.9482969045639038,1.1645675897598267,0.005096938461065292,0.33112043142318726,12.9852294921875,-2215.85400390625,5.148327672341536e-06
301.3,302.0,0.6999999999999886,0.016372887417674065,0.030734620988368988,1.4131288528442383,0.001091597368940711,0.1780882030725479,17.42706298828125,-2024.017333984375,2.542515507059661e-06
307.90000000000003,308.6,0.6999999999999886,0.6482483148574829,1.80674409866333,1.0454602241516113,0.0008873488986864686,0.11236654222011566,100.9307861328125,-2265.646484375,7.316064310821459e-07
313.2,313.85,0.6500000000000341,0.9164329171180725,1.7190165519714355,1.0402766466140747,0.001178097678348422,0.11079341173171997,50.299072265625,-2544.401611328125,8.056790278055568e-07
313.85,315.1,1.25,0.25794070959091187,0.5953782796859741,1.0781395435333252,0.000650659145321697,0.09553416818380356,22.9949951171875,-1733.9676513671875,5.470513395837532e-07
319.7,320.55,0.8500000000000227,0.3480079770088196,0.7010740637779236,1.0821720361709595,0.0007369222003035247,0.1137661263346672,67.66815185546875,-2061.026123046875,6.915450742489891e-07
321.5,322.2,0.6999999999999886,0.8569532632827759,1.2989768981933594,1.0379078388214111,0.001133648562245071,0.10409362614154816,51.529693603515625,-2371.342529296875,7.224555210645183e-07
331.45,332.2,0.75,0.2590004503726959,0.6318134665489197,1.1063724756240845,0.001002895412966609,0.15123268961906433,-84.9853515625,-1849.93896484375,9.935712122813884e-07
332.2,333.1,0.9000000000000341,0.28380075097084045,0.6583147048950195,1.1072982549667358,0.0006170299602672458,0.09356634318828583,-78.472900390625,-2022.2503662109375,5.239442047389398e-07
334.95,335.40000000000003,0.4500000000000455,0.6468625068664551,1.422201156616211,1.0567395687103271,0.000736535934265703,0.09620768576860428,77.48870849609375,-1904.5975341796875,6.242251091899493e-07
340.35,340.65000000000003,0.30000000000001137,0.30325639247894287,0.8196620941162109,1.1328225135803223,0.005253048613667488,0.6814752817153931,-20.8404541015625,-1581.0943603515625,1.5509005772670604e-05
340.95,341.65000000000003,0.7000000000000455,1.2549972534179688,1.639803171157837,1.0383307933807373,0.0015533731784671545,0.18756616115570068,12.239837646484375,-1432.597412109375,1.5132292819817552e-06
341.95,342.25,0.30000000000001137,0.12010544538497925,0.2303134799003601,1.140873908996582,0.0009533019037917256,0.133611798286438,201.85394287109375,-1570.6939697265625,1.2375895213501166e-06
346.05,346.7,0.6499999999999773,0.7891943454742432,1.3769549131393433,1.0466423034667969,0.0019327308982610703,0.1445903182029724,-34.9365234375,-2640.513671875,7.877564878509961e-07
374.8,375.40000000000003,0.6000000000000227,0.4235028326511383,1.239767074584961,1.1009163856506348,0.0026965485885739326,0.19375079870224,-23.805999755859375,-2963.858154296875,1.7777418091188265e-06
375.7,376.0,0.30000000000001137,0.5855703353881836,1.701059103012085,1.0627832412719727,0.0010656481608748436,0.09265149384737015,9.030914306640625,-1655.9647216796875,5.049931743996711e-07
384.75,385.45,0.6999999999999886,0.2641320824623108,0.7931859493255615,1.1238975524902344,0.0014375319005921483,0.14793047308921814,-78.03726196289062,-2087.091064453125,6.148787298027408e-07
385.45,385.7,0.25,0.10445588082075119,0.22215212881565094,1.2849652767181396,0.0006299212691374123,0.09356556832790375,37.78839111328125,-1891.0736083984375,9.736233242334222e-07
393.2,393.8,0.6000000000000227,0.6357228755950928,1.5989471673965454,1.104377269744873,0.0016366716008633375,0.1663161665201187,39.32952880859375,-1750.322021484375,1.2019937377500355e-06
393.8,394.65000000000003,0.8500000000000227,0.8579947352409363,1.5939165353775024,1.0498038530349731,0.0008449695305898786,0.09049299359321594,0.494384765625,-2182.798828125,5.740602658764244e-07
397.8,398.6,0.8000000000000114,0.30766117572784424,0.7781847715377808,1.0991804599761963,0.0013214393984526396,0.1302369236946106,36.03057861328125,-2493.00537109375,8.791258526400297e-07
400.25,401.0,0.75,0.36307916045188904,0.6970980763435364,1.0978749990463257,0.0006961405742913485,0.108383908867836,-193.06182861328125,-2006.8863525390625,5.2103943635604e-07
401.0,401.55,0.5500000000000114,0.2674175798892975,1.0476925373077393,1.094003438949585,0.0007218362879939377,0.1043347716331482,57.4615478515625,-1597.216796875,5.261574710858528e-07
409.75,410.3,0.5500000000000114,1.0740160942077637,2.893054485321045,1.0360099077224731,0.0014915463980287313,0.12299417704343796,-71.8841552734375,-1964.9552001953125,6.862668730986009e-07
414.55,415.65000000000003,1.1000000000000227,0.1976296305656433,0.6143021583557129,1.1060458421707153,0.0006218922790139914,0.09841712564229965,-2.74505615234375,-2137.24365234375,6.455621953061798e-07
415.65000000000003,416.06,0.40999999999996817,0.09770944714546204,0.22790230810642242,1.2843908071517944,0.0005614656838588417,0.08218153566122055,-13.06304931640625,-1333.6395263671875,6.359494275728848e-07
